,hle-id,type,segment,activity,value,window
135,135,exit,"('W_Handle leads|withdraw', 'W_Complete application|schedule')","('exit', ('W_Handle leads|withdraw', 'W_Complete application|schedule'))",70,31
136,136,exit,"('W_Complete application|schedule', 'A_Concept')","('exit', ('W_Complete application|schedule', 'A_Concept'))",70,31
137,137,exit,"('W_Complete application|start', 'W_Complete application|suspend')","('exit', ('W_Complete application|start', 'W_Complete application|suspend'))",62,31
138,138,exit,"('A_Accepted', 'O_Create Offer')","('exit', ('A_Accepted', 'O_Create Offer'))",150,31
139,139,exit,"('O_Create Offer', 'O_Created')","('exit', ('O_Create Offer', 'O_Created'))",239,31
140,140,exit,"('O_Created', 'O_Sent (mail and online)')","('exit', ('O_Created', 'O_Sent (mail and online)'))",202,31
141,141,exit,"('O_Sent (mail and online)', 'W_Complete application|ate_abort')","('exit', ('O_Sent (mail and online)', 'W_Complete application|ate_abort'))",61,31
142,142,exit,"('W_Complete application|ate_abort', 'W_Call after offers|schedule')","('exit', ('W_Complete application|ate_abort', 'W_Call after offers|schedule'))",61,31
143,143,exit,"('W_Call after offers|schedule', 'W_Call after offers|start')","('exit', ('W_Call after offers|schedule', 'W_Call after offers|start'))",163,31
144,144,exit,"('W_Call after offers|start', 'A_Complete')","('exit', ('W_Call after offers|start', 'A_Complete'))",163,31
145,145,exit,"('A_Complete', 'W_Call after offers|suspend')","('exit', ('A_Complete', 'W_Call after offers|suspend'))",161,31
146,146,exit,"('O_Sent (mail and online)', 'W_Complete application|complete')","('exit', ('O_Sent (mail and online)', 'W_Complete application|complete'))",95,31
147,147,exit,"('W_Complete application|complete', 'W_Call after offers|schedule')","('exit', ('W_Complete application|complete', 'W_Call after offers|schedule'))",95,31
148,148,exit,"('W_Complete application|schedule', 'W_Complete application|start')","('exit', ('W_Complete application|schedule', 'W_Complete application|start'))",97,31
149,149,exit,"('W_Complete application|start', 'A_Concept')","('exit', ('W_Complete application|start', 'A_Concept'))",69,31
150,150,workload,"('A_Accepted', 'O_Create Offer')","('workload', ('A_Accepted', 'O_Create Offer'))",6.521739130434782,31
151,151,workload,"('O_Create Offer', 'O_Created')","('workload', ('O_Create Offer', 'O_Created'))",9.958333333333334,31
152,152,workload,"('O_Created', 'O_Sent (mail and online)')","('workload', ('O_Created', 'O_Sent (mail and online)'))",8.416666666666666,31
153,153,workload,"('O_Sent (mail and online)', 'W_Complete application|ate_abort')","('workload', ('O_Sent (mail and online)', 'W_Complete application|ate_abort'))",3.388888888888889,31
154,154,workload,"('W_Complete application|ate_abort', 'W_Call after offers|schedule')","('workload', ('W_Complete application|ate_abort', 'W_Call after offers|schedule'))",3.388888888888889,31
155,155,workload,"('W_Call after offers|schedule', 'W_Call after offers|start')","('workload', ('W_Call after offers|schedule', 'W_Call after offers|start'))",7.086956521739131,31
156,156,workload,"('W_Call after offers|start', 'A_Complete')","('workload', ('W_Call after offers|start', 'A_Complete'))",7.086956521739131,31
157,157,workload,"('A_Complete', 'W_Call after offers|suspend')","('workload', ('A_Complete', 'W_Call after offers|suspend'))",7.181818181818182,31
158,158,workload,"('W_Call after offers|resume', 'W_Call after offers|suspend')","('workload', ('W_Call after offers|resume', 'W_Call after offers|suspend'))",53.0,31
159,159,workload,"('W_Validate application|suspend', 'W_Validate application|ate_abort')","('workload', ('W_Validate application|suspend', 'W_Validate application|ate_abort'))",3.0,31
160,160,workload,"('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')","('workload', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume'))",10.0,31
161,161,workload,"('W_Complete application|schedule', 'W_Complete application|start')","('workload', ('W_Complete application|schedule', 'W_Complete application|start'))",4.619047619047619,31
162,162,workload,"('W_Complete application|start', 'A_Concept')","('workload', ('W_Complete application|start', 'A_Concept'))",3.8333333333333335,31
163,163,enter,"('W_Call after offers|ate_abort', 'W_Validate application|schedule')","('enter', ('W_Call after offers|ate_abort', 'W_Validate application|schedule'))",118,33
164,164,enter,"('A_Validating', 'O_Returned')","('enter', ('A_Validating', 'O_Returned'))",120,33
165,165,enter,"('O_Returned', 'W_Validate application|suspend')","('enter', ('O_Returned', 'W_Validate application|suspend'))",124,33
166,166,exit,"('W_Call after offers|ate_abort', 'W_Validate application|schedule')","('exit', ('W_Call after offers|ate_abort', 'W_Validate application|schedule'))",118,33
167,167,exit,"('A_Validating', 'O_Returned')","('exit', ('A_Validating', 'O_Returned'))",120,33
168,168,exit,"('O_Returned', 'W_Validate application|suspend')","('exit', ('O_Returned', 'W_Validate application|suspend'))",124,33
169,169,workload,"('W_Call after offers|ate_abort', 'W_Validate application|schedule')","('workload', ('W_Call after offers|ate_abort', 'W_Validate application|schedule'))",23.6,33
170,170,workload,"('A_Validating', 'O_Returned')","('workload', ('A_Validating', 'O_Returned'))",24.0,33
171,171,handover,"('W_Call after offers|suspend', 'W_Call after offers|resume')","('handover', ('W_Call after offers|suspend', 'W_Call after offers|resume'))",11.0,36
172,172,workload,"('W_Complete application|start', 'W_Complete application|suspend')","('workload', ('W_Complete application|start', 'W_Complete application|suspend'))",6.0,36
173,173,workload,"('A_Accepted', 'O_Create Offer')","('workload', ('A_Accepted', 'O_Create Offer'))",7.222222222222222,36
174,174,workload,"('O_Create Offer', 'O_Created')","('workload', ('O_Create Offer', 'O_Created'))",9.444444444444445,36
175,175,workload,"('O_Created', 'O_Sent (mail and online)')","('workload', ('O_Created', 'O_Sent (mail and online)'))",8.11111111111111,36
176,176,workload,"('O_Sent (mail and online)', 'W_Complete application|ate_abort')","('workload', ('O_Sent (mail and online)', 'W_Complete application|ate_abort'))",3.125,36
177,177,workload,"('W_Complete application|ate_abort', 'W_Call after offers|schedule')","('workload', ('W_Complete application|ate_abort', 'W_Call after offers|schedule'))",3.125,36
178,178,workload,"('W_Call after offers|schedule', 'W_Call after offers|start')","('workload', ('W_Call after offers|schedule', 'W_Call after offers|start'))",7.1,36
179,179,workload,"('W_Call after offers|start', 'A_Complete')","('workload', ('W_Call after offers|start', 'A_Complete'))",7.777777777777778,36
180,180,workload,"('A_Complete', 'W_Call after offers|suspend')","('workload', ('A_Complete', 'W_Call after offers|suspend'))",7.555555555555555,36
181,181,workload,"('W_Call incomplete files|ate_abort', 'W_Validate application|schedule')","('workload', ('W_Call incomplete files|ate_abort', 'W_Validate application|schedule'))",9.5,36
182,182,workload,"('O_Sent (mail and online)', 'W_Complete application|complete')","('workload', ('O_Sent (mail and online)', 'W_Complete application|complete'))",4.777777777777778,36
183,183,workload,"('W_Complete application|complete', 'W_Call after offers|schedule')","('workload', ('W_Complete application|complete', 'W_Call after offers|schedule'))",4.777777777777778,36
184,184,workload,"('W_Complete application|start', 'W_Complete application|suspend')","('workload', ('W_Complete application|start', 'W_Complete application|suspend'))",5.714285714285714,38
185,185,workload,"('A_Accepted', 'O_Create Offer')","('workload', ('A_Accepted', 'O_Create Offer'))",7.0,38
186,186,workload,"('O_Create Offer', 'O_Created')","('workload', ('O_Create Offer', 'O_Created'))",9.0,38
187,187,workload,"('O_Created', 'O_Sent (mail and online)')","('workload', ('O_Created', 'O_Sent (mail and online)'))",8.333333333333334,38
188,188,workload,"('W_Call after offers|schedule', 'W_Call after offers|start')","('workload', ('W_Call after offers|schedule', 'W_Call after offers|start'))",7.166666666666667,38
189,189,workload,"('W_Call after offers|start', 'A_Complete')","('workload', ('W_Call after offers|start', 'A_Complete'))",7.166666666666667,38
190,190,workload,"('A_Complete', 'W_Call after offers|suspend')","('workload', ('A_Complete', 'W_Call after offers|suspend'))",6.583333333333333,38
191,191,workload,"('A_Validating', 'O_Returned')","('workload', ('A_Validating', 'O_Returned'))",23.666666666666668,38
192,192,workload,"('O_Returned', 'W_Validate application|suspend')","('workload', ('O_Returned', 'W_Validate application|suspend'))",23.666666666666668,38
193,193,workload,"('W_Complete application|schedule', 'W_Complete application|start')","('workload', ('W_Complete application|schedule', 'W_Complete application|start'))",5.545454545454546,38
194,194,enter,"('W_Complete application|start', 'W_Complete application|suspend')","('enter', ('W_Complete application|start', 'W_Complete application|suspend'))",63,39
195,195,enter,"('W_Call after offers|resume', 'W_Call after offers|suspend')","('enter', ('W_Call after offers|resume', 'W_Call after offers|suspend'))",305,39
196,196,enter,"('W_Call after offers|suspend', 'W_Call after offers|ate_abort')","('enter', ('W_Call after offers|suspend', 'W_Call after offers|ate_abort'))",194,39
197,197,enter,"('W_Validate application|suspend', 'W_Validate application|resume')","('enter', ('W_Validate application|suspend', 'W_Validate application|resume'))",231,39
198,198,enter,"('W_Validate application|resume', 'W_Validate application|suspend')","('enter', ('W_Validate application|resume', 'W_Validate application|suspend'))",163,39
199,199,exit,"('A_Concept', 'W_Complete application|start')","('exit', ('A_Concept', 'W_Complete application|start'))",82,39
200,200,exit,"('W_Complete application|start', 'W_Complete application|suspend')","('exit', ('W_Complete application|start', 'W_Complete application|suspend'))",63,39
201,201,exit,"('W_Call after offers|suspend', 'W_Call after offers|resume')","('exit', ('W_Call after offers|suspend', 'W_Call after offers|resume'))",290,39
202,202,exit,"('W_Call after offers|resume', 'W_Call after offers|suspend')","('exit', ('W_Call after offers|resume', 'W_Call after offers|suspend'))",305,39
203,203,exit,"('W_Validate application|resume', 'W_Validate application|suspend')","('exit', ('W_Validate application|resume', 'W_Validate application|suspend'))",163,39
204,204,workload,"('W_Call after offers|suspend', 'W_Call after offers|resume')","('workload', ('W_Call after offers|suspend', 'W_Call after offers|resume'))",7.333333333333333,39
205,205,workload,"('W_Call after offers|resume', 'W_Call after offers|suspend')","('workload', ('W_Call after offers|resume', 'W_Call after offers|suspend'))",50.833333333333336,39
